SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
567729_6,70,70,70,70,68,70,77,62,62,63,81,67
567729_7,70,70,70,70,65,68,69,73,63,66,67,61
567729_8,70,68,70,70,64,70,69,64,61,67,97,69
567729_9,70,70,70,70,65,68,69,74,65,66,68,59
567729_10,70,68,70,68,64,68,73,57,63,62,71,70
567729_11,69,70,70,68,68,70,99,73,69,60,89,79
567729_12,70,70,70,70,56,68,69,73,76,70,49,63
567729_13,70,70,70,66,65,70,70,70,62,100,79,65
567729_14,70,70,70,70,68,70,74,71,62,67,94,66
567729_15,68,70,68,70,63,68,64,77,61,68,70,64
567729_16,70,70,70,70,63,63,65,69,65,62,76,56
567729_17,70,70,70,68,63,70,69,80,73,66,68,70
567729_18,70,68,70,70,64,70,64,65,65,64,68,71
567729_19,70,70,70,70,68,70,74,73,66,64,76,65
567729_20,68,53,70,70,60,70,63,40,73,69,78,69
876542_1,70,70,70,70,68,70,66,82,75,65,84,76
876542_2,70,68,70,70,70,70,69,68,79,68,89,70
876542_3,70,70,70,70,62,70,70,82,71,66,60,81
876542_4,68,70,68,70,62,70,66,80,69,73,61,71
876542_5,70,70,70,70,68,70,69,78,78,66,81,72
876542_6,68,68,67,70,65,70,65,70,65,70,70,75
876542_7,70,70,70,70,68,64,71,80,74,72,81,58
876542_8,70,67,70,70,70,65,68,69,71,68,94,61
876542_9,70,65,70,70,62,70,69,58,71,71,57,73
876542_10,66,69,68,70,64,70,58,96,98,69,68,77
876542_11,70,62,70,70,68,70,72,54,69,69,73,74
876542_12,70,70,57,68,67,70,70,87,100,66,83,76
876542_13,68,70,70,68,66,70,62,74,98,65,100,71
876542_14,68,68,70,68,70,70,88,73,72,61,89,70
876542_15,70,68,63,70,68,70,86,82,54,70,83,78
876542_16,70,70,64,70,49,70,70,84,62,68,45,76
876542_17,70,70,70,70,68,68,73,77,73,63,79,66
876542_18,70,70,70,70,70,68,73,79,68,73,85,69
876542_19,70,68,70,70,62,70,70,84,69,68,64,72
876542_20,70,50,70,70,65,63,74,44,77,70,69,58
562088_1,68,70,70,70,70,70,63,73,75,67,85,74
562088_2,70,70,70,70,68,70,67,68,72,69,82,78
562088_3,70,70,70,68,63,70,65,96,76,62,70,75
562088_4,70,70,70,70,66,70,71,74,66,67,76,77
562088_5,70,70,70,70,68,68,69,66,70,65,84,61
562088_6,70,70,70,66,64,70,68,86,76,98,66,76
562088_7,70,70,70,70,68,70,62,76,77,68,85,71
562088_8,70,70,70,70,70,70,92,90,80,63,95,74
562088_9,70,70,70,70,65,68,74,68,80,68,73,73
562088_10,70,70,67,70,67,70,71,75,63,72,80,71
562088_11,70,70,70,70,56,70,61,74,79,62,50,75
562088_12,70,69,70,70,68,68,78,97,73,70,86,91
562088_13,70,67,70,70,62,70,75,62,69,70,82,71
562088_14,70,68,70,70,65,68,82,68,73,77,69,89
562088_15,70,70,70,70,63,70,64,74,71,63,60,69
562088_16,68,59,70,70,68,70,61,47,91,67,71,76
562088_17,70,70,70,68,63,68,65,77,69,64,62,67
562088_18,68,55,70,70,65,68,62,45,75,77,64,69
562088_19,70,56,70,70,64,68,69,46,79,64,64,68
562088_20,70,70,70,70,70,68,72,74,76,66,86,71
26986_1,70,70,70,70,67,63,71,66,66,69,61,53
26986_2,70,60,70,68,68,70,69,100,78,61,67,66
26986_3,70,67,70,68,70,70,66,60,68,61,75,70
26986_4,68,68,70,70,70,70,62,65,70,68,70,69
26986_5,70,70,70,67,70,70,63,91,69,63,71,69
26986_6,70,70,70,70,70,70,67,84,70,66,65,69
26986_7,65,70,70,70,70,68,99,79,70,74,74,66
26986_8,70,70,70,70,70,70,77,69,99,69,68,69
26986_9,70,70,61,70,68,70,68,85,62,64,68,83
26986_10,70,67,70,70,68,70,81,64,69,72,70,75
26986_11,70,67,70,70,70,70,87,64,71,69,96,70
26986_12,70,68,70,68,68,70,70,67,70,73,66,73
26986_13,70,70,68,70,70,70,70,74,100,68,74,82
26986_14,70,70,68,68,70,70,65,71,63,70,78,82
26986_15,70,70,70,70,70,70,69,69,67,68,82,66
26986_16,70,63,70,68,68,67,77,79,83,68,75,62
26986_17,70,68,67,70,68,70,65,65,67,76,65,73
26986_18,70,70,68,70,67,68,69,74,73,71,61,63
26986_19,70,70,70,70,68,70,68,65,69,61,64,64
26986_20,68,70,70,70,70,70,56,67,68,70,81,70
809832_1,70,68,67,70,67,70,70,97,67,74,79,86
809832_2,70,68,65,70,67,70,73,75,67,77,76,98
809832_3,70,70,70,68,65,70,72,85,78,69,71,71
809832_4,70,70,65,70,68,68,69,82,99,79,69,68
809832_5,70,68,68,70,68,68,71,80,73,73,86,70
809832_6,70,67,68,70,68,70,71,73,63,66,80,71
809832_7,70,63,68,70,67,68,77,58,66,75,91,73
809832_8,64,61,68,68,70,50,56,56,99,63,76,42
809832_9,70,70,70,70,63,70,66,76,69,90,63,67
809832_10,70,70,68,59,68,70,75,73,63,52,79,84
809832_11,68,70,70,70,54,70,62,89,78,67,68,71
809832_12,70,70,70,68,68,70,71,77,80,65,70,81
809832_13,70,68,68,70,70,70,67,81,73,69,85,78
809832_14,68,68,67,66,65,70,64,76,67,100,98,72
809832_15,70,70,70,70,52,70,68,74,68,68,49,76
809832_16,68,63,68,68,70,70,68,90,75,67,87,82
809832_17,68,70,70,68,68,70,68,81,76,64,76,97
809832_18,70,62,68,70,66,70,77,67,79,70,65,73
809832_19,70,70,70,68,64,65,86,81,72,75,61,98
809832_20,68,70,70,70,70,70,97,75,70,74,94,73
217211_1,70,70,68,67,70,70,73,76,91,70,79,81
217211_2,68,70,68,70,67,70,66,73,69,73,61,71
217211_3,70,67,70,70,70,70,68,59,84,72,70,75
217211_4,70,70,70,70,70,68,71,76,68,75,99,67
217211_5,70,65,68,70,70,70,69,61,68,74,75,91
217211_6,70,67,68,70,70,70,70,85,80,72,71,77
217211_7,70,68,68,70,67,68,67,68,74,68,66,87
217211_8,70,70,70,70,68,70,73,70,86,77,65,77
217211_9,68,70,67,67,70,70,65,73,69,63,75,76
217211_10,70,68,67,70,70,70,86,69,71,98,73,78
217211_11,70,70,70,70,62,68,81,78,73,95,52,75
217211_12,70,70,70,67,70,58,78,73,76,64,74,52
217211_13,70,70,70,70,70,70,71,76,81,75,65,79
217211_14,61,70,68,70,70,70,100,78,66,76,65,76
217211_15,70,70,70,70,68,70,68,78,75,78,63,79
217211_16,70,70,67,70,70,67,70,78,68,73,70,87
217211_17,70,61,70,70,70,57,73,54,85,76,74,51
217211_18,70,70,68,70,68,68,71,70,71,70,79,71
217211_19,70,70,63,70,70,70,67,75,57,75,73,92
217211_20,68,70,68,70,70,70,62,72,74,69,66,79
342779_1,70,70,70,70,70,70,70,72,74,69,73,66
342779_2,70,70,68,70,66,67,69,77,67,65,62,64
342779_3,70,55,67,70,70,70,67,66,68,63,69,75
342779_4,70,70,70,68,70,64,68,79,70,63,75,57
342779_5,70,70,70,70,68,67,75,83,66,68,70,100
342779_6,70,70,70,70,70,70,66,70,76,67,74,71
342779_7,70,70,70,70,70,69,64,79,74,64,73,100
342779_8,70,70,70,70,70,70,66,72,68,65,68,68
342779_9,70,70,70,70,70,70,64,67,72,68,67,67
342779_10,70,65,70,70,68,70,66,59,79,67,69,71
342779_11,70,68,70,70,68,65,71,94,76,67,67,57
342779_12,70,63,70,70,59,70,67,100,67,67,62,69
342779_13,70,70,70,68,70,70,70,87,70,62,71,69
342779_14,68,70,70,70,65,68,65,74,70,65,62,65
342779_15,70,68,64,70,70,70,68,65,57,67,64,65
342779_16,68,62,64,65,63,70,61,57,58,99,54,75
342779_17,70,70,70,70,70,70,64,69,65,67,67,65
342779_18,70,63,70,70,70,70,61,54,69,66,77,74
342779_19,68,70,59,65,70,68,65,75,46,50,73,68
342779_20,70,70,70,70,70,70,73,69,86,71,72,81
410853_1,70,70,70,70,70,70,71,77,74,77,86,73
410853_2,70,70,67,70,61,70,62,72,62,67,52,66
410853_3,70,70,66,68,64,67,68,77,100,67,60,61
410853_4,70,70,70,70,68,70,73,80,76,73,85,70
410853_5,68,68,70,70,64,70,60,74,80,72,70,66
410853_6,70,68,70,70,63,70,67,71,84,78,63,72
410853_7,70,70,68,70,63,70,69,80,66,73,76,70
410853_8,70,70,68,70,58,70,72,82,97,79,100,77
410853_9,70,65,70,70,64,70,75,64,72,70,68,69
410853_10,70,70,68,60,65,62,73,70,76,51,67,52
410853_11,70,68,67,70,62,70,73,68,65,70,58,70
410853_12,70,70,70,70,70,70,68,80,93,70,88,70
410853_13,70,70,70,70,68,67,75,80,80,73,79,60
410853_14,70,68,70,68,68,70,70,73,70,64,84,65
410853_15,70,70,67,70,63,70,69,76,74,77,97,71
410853_16,68,70,70,70,64,70,63,77,80,74,100,64
410853_17,70,70,65,69,63,70,75,74,63,99,66,68
410853_18,70,70,70,70,68,70,73,94,75,71,87,77
410853_19,70,68,70,70,64,70,69,75,79,72,61,69
410853_20,70,70,70,67,68,68,67,73,71,62,89,67
