SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
567729_6,70,70,70,70,68,70,77,62,62,63,81,67
567729_7,70,70,70,70,65,68,69,73,63,66,67,61
567729_8,70,68,70,70,64,70,69,64,61,67,97,69
567729_9,70,70,70,70,65,68,69,74,65,66,68,59
567729_10,70,68,70,68,64,68,73,57,63,62,71,70
567729_11,69,70,70,68,68,70,99,73,69,60,89,79
567729_12,70,70,70,70,56,68,69,73,76,70,49,63
567729_13,70,70,70,66,65,70,70,70,62,100,79,65
567729_14,70,70,70,70,68,70,74,71,62,67,94,66
567729_15,68,70,68,70,63,68,64,77,61,68,70,64
567729_16,70,70,70,70,63,63,65,69,65,62,76,56
567729_17,70,70,70,68,63,70,69,80,73,66,68,70
567729_18,70,68,70,70,64,70,64,65,65,64,68,71
567729_19,70,70,70,70,68,70,74,73,66,64,76,65
567729_20,68,53,70,70,60,70,63,40,73,69,78,69
876542_1,70,70,70,70,68,70,66,82,75,65,84,76
876542_2,70,68,70,70,70,70,69,68,79,68,89,70
876542_3,70,70,70,70,62,70,70,82,71,66,60,81
876542_4,68,70,68,70,62,70,66,80,69,73,61,71
876542_5,70,70,70,70,68,70,69,78,78,66,81,72
876542_6,68,68,67,70,65,70,65,70,65,70,70,75
876542_7,70,70,70,70,68,64,71,80,74,72,81,58
876542_8,70,67,70,70,70,65,68,69,71,68,94,61
876542_9,70,65,70,70,62,70,69,58,71,71,57,73
876542_10,66,69,68,70,64,70,58,96,98,69,68,77
876542_11,70,62,70,70,68,70,72,54,69,69,73,74
876542_12,70,70,57,68,67,70,70,87,100,66,83,76
876542_13,68,70,70,68,66,70,62,74,98,65,100,71
876542_14,68,68,70,68,70,70,88,73,72,61,89,70
876542_15,70,68,63,70,68,70,86,82,54,70,83,78
876542_16,70,70,64,70,49,70,70,84,62,68,45,76
876542_17,70,70,70,70,68,68,73,77,73,63,79,66
876542_18,70,70,70,70,70,68,73,79,68,73,85,69
876542_19,70,68,70,70,62,70,70,84,69,68,64,72
876542_20,70,50,70,70,65,63,74,44,77,70,69,58
562088_1,68,70,70,70,70,70,63,73,75,67,85,74
562088_2,70,70,70,70,68,70,67,68,72,69,82,78
562088_3,70,70,70,68,63,70,65,96,76,62,70,75
562088_4,70,70,70,70,66,70,71,74,66,67,76,77
562088_5,70,70,70,70,68,68,69,66,70,65,84,61
562088_6,70,70,70,66,64,70,68,86,76,98,66,76
562088_7,70,70,70,70,68,70,62,76,77,68,85,71
562088_8,70,70,70,70,70,70,92,90,80,63,95,74
562088_9,70,70,70,70,65,68,74,68,80,68,73,73
562088_10,70,70,67,70,67,70,71,75,63,72,80,71
562088_11,70,70,70,70,56,70,61,74,79,62,50,75
562088_12,70,69,70,70,68,68,78,97,73,70,86,91
562088_13,70,67,70,70,62,70,75,62,69,70,82,71
562088_14,70,68,70,70,65,68,82,68,73,77,69,89
562088_15,70,70,70,70,63,70,64,74,71,63,60,69
562088_16,68,59,70,70,68,70,61,47,91,67,71,76
562088_17,70,70,70,68,63,68,65,77,69,64,62,67
562088_18,68,55,70,70,65,68,62,45,75,77,64,69
562088_19,70,56,70,70,64,68,69,46,79,64,64,68
562088_20,70,70,70,70,70,68,72,74,76,66,86,71
